,PlayerName,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings,YardsPerDrive,DrivingAcc,DriveTotal,GreensInReg,PuttAvg,SavePct,Age,Eagles,Birdies,Pars,Bogeys,BirdiesPerRound,HolesPerEagle,PlayerID
0,Brooks Koepka,21,74,20,9,3,-13,9684006,309.0,61.8,10,70.0,1.7519999999999998,58.4,29,15.0,317.0,820.0,155.0,4.284,89.0,1
1,Rory McIlroy,19,68,17,14,3,-18,7785286,313.5,61.8,2,68.5,1.7009999999999998,55.3,30,13.0,305.0,754.0,129.0,4.485,94.0,2
2,Matt Kuchar,22,80,20,8,2,-1,6294690,289.5,67.4,135,69.4,1.7480000000000002,60.8,41,7.0,321.0,923.0,170.0,4.013,206.0,3
3,Patrick Cantlay,21,72,18,9,1,1,6121488,304.7,57.3,21,67.2,1.7209999999999999,58.0,28,5.0,317.0,811.0,144.0,4.4030000000000005,259.0,4
4,Gary Woodland,24,84,21,8,1,-2,5690965,308.2,63.4,13,69.0,1.7590000000000001,50.4,35,10.0,368.0,900.0,206.0,4.381,151.0,5
5,Xander Schauffele,21,74,18,6,2,-14,5609456,304.1,60.3,24,68.4,1.744,55.6,26,12.0,302.0,836.0,163.0,4.081,111.0,6
6,Dustin Johnson,19,70,18,7,1,10,5534619,312.0,55.6,4,67.0,1.7369999999999999,63.9,35,2.0,295.0,774.0,171.0,4.2139999999999995,630.0,7
7,Justin Thomas,20,72,18,7,1,-13,5013084,302.2,60.0,37,70.7,1.716,52.6,26,14.0,330.0,774.0,156.0,4.583,93.0,8
8,Jon Rahm,20,68,18,12,1,-4,4990110,305.6,62.5,20,69.0,1.736,52.8,25,9.0,296.0,747.0,159.0,4.353,136.0,9
9,Webb Simpson,21,78,20,6,0,-1,4690572,288.6,66.8,146,65.8,1.726,63.0,34,13.0,301.0,914.0,165.0,3.859,108.0,10
10,Justin Rose,17,62,16,7,1,3,4358849,303.2,60.1,28,64.8,1.71,61.7,39,10.0,252.0,688.0,147.0,4.065,112.0,11
11,Tony Finau,25,84,20,6,0,-7,4344380,309.5,56.9,9,67.5,1.756,49.4,30,11.0,328.0,959.0,196.0,3.905,137.0,12
