RK,PlayerName,Age,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings
1,Brooks Koepka,29,21,74,20,9,3,-13,9684006
2,Rory McIlroy,30,19,68,17,14,3,-18,7785286
3,Matt Kuchar,41,22,80,20,8,2,-1,6294690
4,Patrick Cantlay,28,21,72,18,9,1,1,6121488
5,Gary Woodland,35,24,84,21,8,1,-2,5690965
6,Xander Schauffele,26,21,74,18,6,2,-14,5609456
7,Dustin Johnson,35,19,70,18,7,1,10,5534619
8,Justin Thomas,26,20,72,18,7,1,-13,5013084
9,Jon Rahm,25,20,68,18,12,1,-4,4990110
10,Webb Simpson,34,21,78,20,6,0,-1,4690572
11,Justin Rose,39,17,62,16,7,1,3,4358849
12,Tony Finau,30,25,84,20,6,0,-7,4344380
13,Paul Casey,42,22,75,18,7,1,-9,4257040
14,Adam Scott,39,18,61,14,9,0,-8,4084541
15,Rickie Fowler,31,20,76,18,6,1,0,3945810
16,Marc Leishman,36,21,72,17,7,1,2,3886577
17,Tommy Fleetwood,29,18,64,18,6,0,-1,3853651
18,Chez Reavie,38,28,92,22,6,1,-6,3660909
19,Patrick Reed,29,25,88,22,5,1,-5,3593844
20,Shane Lowry,33,14,41,9,4,1,"1,197",3490098
21,Kevin Kisner,36,25,86,22,5,1,-5,3489144
22,Francesco Molinari,37,15,54,14,3,1,"1,080",3467143
23,Hideki Matsuyama,28,24,88,22,7,0,-5,3335137
24,Tiger Woods,44,12,41,0,4,1,"1,069",3199615
25,Bryson DeChambeau,26,21,72,17,5,1,-4,3186232
26,Brandt Snedeker,39,27,99,24,6,0,2,3122936
27,Charles Howell III,40,27,91,21,5,1,4,3039049
28,Corey Conners,28,28,86,16,4,1,3,2919864
29,Ryan Palmer,43,21,66,15,6,1,"1,141",2873316
30,Sungjae Im,22,35,118,26,7,0,0,2851134
31,Sung Kang,32,27,84,17,4,1,"1,003",2801650
32,Abraham Ancer,29,27,88,20,4,0,1,2688625
33,Scott Piercy,41,24,86,21,6,0,"1,104",2679915
34,Jim Furyk,49,21,68,16,3,0,911,2669938
35,Jason Day,32,21,64,15,6,0,891,2637480
36,Lucas Glover,40,26,90,21,7,0,10,2613965
37,Louis Oosthuizen,37,19,64,16,5,0,1,2539183
38,J.T. Poston,26,29,96,21,3,1,"1,238",2461215
39,Phil Mickelson,49,20,60,0,2,1,948,2440221
40,Andrew Putnam,31,23,76,18,3,0,"1,145",2439137
41,Keith Mitchell,28,26,83,17,3,1,926,2405360
42,Rory Sabbatini,44,26,93,22,6,0,"1,140",2382298
43,C.T. Pan,28,25,82,17,2,1,"1,125",2362399
44,Jason Kokrak,34,24,90,23,5,0,-3,2330212
45,Kevin Tway,31,26,80,16,2,1,"1,242",2300050
46,Kevin Na,36,19,60,14,3,1,823,2257309
47,Si Woo Kim,24,28,82,16,5,0,956,2191808
48,Billy Horschel,33,26,92,24,4,0,"1,065",2187249
49,Ian Poulter,44,18,58,15,6,0,"1,072",2162306
50,J.B. Holmes,37,25,71,15,2,1,856,2147065
51,Jordan Spieth,26,23,79,19,4,0,"1,026",2124192
52,Max Homa,29,25,80,16,2,1,825,2063606
53,Adam Hadwin,32,24,82,19,5,0,904,2039012
54,Nate Lashley,37,21,68,14,2,1,849,2030287
55,Byeong-Hun An,28,22,77,19,3,0,892,1990033
56,Joel Dahmen,32,29,96,21,2,0,868,1949958
57,Rafael Cabrera Bello,35,19,68,17,2,0,713,1926935
58,Keegan Bradley,33,25,82,20,3,0,761,1902797
59,Ryan Moore,37,22,74,15,2,0,944,1838788
60,Sergio Garcia,40,15,44,11,5,0,637,1793027
61,Collin Morikawa,23,9,32,9,3,1,840,1754890
62,Emiliano Grillo,27,23,78,20,2,0,765,1752114
63,Vaughn Taylor,44,27,91,20,4,0,937,1723910
64,Cameron Champ,24,26,76,14,3,1,819,1695748
65,Graeme McDowell,40,20,71,18,3,1,750,1671523
66,Adam Long,32,27,76,11,2,1,734,1648007
67,Kiradech Aphibarnrat,30,20,62,13,3,0,568,1630073
68,Kevin Streelman,41,26,81,16,4,0,609,1588881
69,Dylan Frittelli,29,24,81,17,1,1,802,1576974
70,Jhonattan Vegas,35,23,72,15,3,0,602,1566910
71,Bubba Watson,41,19,58,14,3,0,572,1558014
72,Matthew Fitzpatrick,25,14,51,13,2,0,0,1553750
73,Harold Varner III,29,26,82,16,3,0,"1,122",1553149
74,Troy Merritt,34,21,61,14,4,0,842,1531143
75,Danny Lee,29,27,81,15,3,0,633,1524126
76,Tyrrell Hatton,28,17,58,14,3,0,574,1517396
77,Cameron Smith,26,23,74,17,3,0,566,1504820
78,Charley Hoffman,43,24,70,13,2,0,576,1468855
79,Joaquin Niemann,21,28,96,21,4,0,751,1434519
80,Matt Every,36,16,41,9,2,0,561,1413149
81,Chesson Hadley,32,26,74,11,3,0,573,1405632
82,Henrik Stenson,43,15,50,14,3,0,523,1397370
83,Luke List,35,22,63,11,4,0,506,1391408
84,Matthew Wolff,--,8,29,6,1,1,613,1390433
85,Branden Grace,31,22,68,16,2,0,588,1373185
86,Brian Harman,33,29,89,16,4,0,534,1342778
87,Brian Stuard,37,29,94,20,3,0,572,1320637
88,Michael Thompson,34,22,71,14,4,0,527,1307816
89,Danny Willett,32,19,63,12,2,0,565,1286737
90,Wyndham Clark,26,27,85,19,3,0,771,1278721
91,Adam Schenk,28,31,100,20,3,0,657,1257158
92,J.J. Spaun,29,26,82,19,2,0,479,1205977
93,Russell Henley,30,25,70,13,1,0,553,1133773
94,Russell Knox,34,22,72,18,2,0,452,1132825
95,Kyle Stanley,32,25,76,16,1,0,471,1117604
96,Sam Burns,23,26,78,16,3,0,493,1117312
