RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
1,Cameron Champ,24,317.9,55.3,1,69.3,1.787,37
2,Rory McIlroy,30,313.5,61.8,2,68.5,1.701,55.3
3,Luke List,35,313.3,53.1,3,65.4,1.786,46.5
4,Dustin Johnson,35,312,55.6,4,67,1.737,63.9
5,Wyndham Clark,26,311.8,56.4,5,65.9,1.71,55.9
6,Bubba Watson,41,311.6,58.1,6,66.8,1.811,49.5
7,Seth Reeves,--,311.4,57.2,7,66.8,1.795,40.4
8,Trey Mullinax,27,310.2,51,8,67.5,1.775,44.4
9,Tony Finau,30,309.5,56.9,9,67.5,1.756,49.4
10,Brooks Koepka,29,309,61.8,10,70,1.752,58.4
11,Cameron Davis,25,309,58,11,68.8,1.773,46.8
12,Jhonattan Vegas,35,308.3,58.9,12,69.3,1.774,43.4
13,Gary Woodland,35,308.2,63.4,13,69,1.759,50.4
14,Sam Burns,23,307.2,57.2,14,64.7,1.749,41.1
15,Byeong-Hun An,28,307.1,58,15,67.7,1.775,58.5
16,J.B. Holmes,37,306.7,56.5,16,65.6,1.786,53.1
17,Ollie Schniederjans,26,306.4,48.5,17,62.9,1.744,51.4
18,Jason Kokrak,34,306.4,62.7,18,68.8,1.761,47.5
19,Phil Mickelson,49,306.3,50.8,19,64.2,1.756,55.1
20,Jon Rahm,25,305.6,62.5,20,69,1.736,52.8
21,Patrick Cantlay,28,304.7,57.3,21,67.2,1.721,58
22,Sepp Straka,26,304.4,63.9,22,69.1,1.752,41.1
23,Brandon Harkins,33,304.3,57,23,67.7,1.743,48.6
24,Xander Schauffele,26,304.1,60.3,24,68.4,1.744,55.6
25,Martin Trainer,28,303.8,50.8,25,60.5,1.762,53.1
26,Kevin Tway,31,303.8,55.3,26,67,1.78,50
27,Alex Prugh,35,303.7,64.1,27,71.4,1.804,47.3
28,Justin Rose,39,303.2,60.1,28,64.8,1.71,61.7
29,Keith Mitchell,28,303.2,60.4,29,67.3,1.774,50.7
30,Rickie Fowler,31,303.1,60.6,30,67.8,1.726,54.8
31,Hideki Matsuyama,28,303,61.3,31,69.4,1.753,53.7
32,Charles Howell III,40,302.8,62.8,32,70.5,1.763,47.5
33,Aaron Wise,23,302.6,61.8,33,68.6,1.734,48.2
34,Brendan Steele,36,302.5,68.7,34,70,1.812,38.9
35,Bryson DeChambeau,26,302.5,65,35,66.2,1.733,52.3
36,Sergio Garcia,40,302.5,58.8,36,63.3,1.758,50
37,Justin Thomas,26,302.2,60,37,70.7,1.716,52.6
38,Harold Varner III,29,302,60,38,67.2,1.767,58.5
39,Jason Day,32,302,61.8,38,69.7,1.747,52.4
40,Nick Watney,38,301.7,59.3,40,68.6,1.765,50.4
41,Joaquin Niemann,21,301.5,61.7,41,68.1,1.762,54.1
42,Danny Lee,29,301.4,57.1,42,66.7,1.758,53.2
43,Alexander Noren,37,301.1,62.4,43,65.3,1.789,44.5
44,Daniel Berger,26,301,65.5,44,65.2,1.762,56.2
45,Carlos Ortiz,28,301,62.3,45,67.8,1.777,50
46,Harris English,30,301,61.6,46,66.8,1.764,51.4
