RK,PlayerName,Age,Eagles,Birdies,Pars,Bogeys,BirdiesPerRound,HolesPerEagle
1,Martin Laird,37,17,287,929,188,3.588,85
2,Jhonattan Vegas,35,15,286,792,174,3.972,86
3,Brooks Koepka,29,15,317,820,155,4.284,89
4,Justin Thomas,26,14,330,774,156,4.583,93
5,Rory McIlroy,30,13,305,754,129,4.485,94
6,Cody Gribble,29,12,229,714,196,3.47,99
7,Keith Mitchell,28,15,322,905,221,3.88,100
8,Sam Burns,23,14,290,875,189,3.718,100
9,Paul Casey,42,13,290,858,172,3.867,104
10,Rickie Fowler,31,13,307,853,172,4.039,105
12,Alex Prugh,35,12,246,817,187,3.465,107
13,Webb Simpson,34,13,301,914,165,3.859,108
15,Xander Schauffele,26,12,302,836,163,4.081,111
16,Justin Rose,39,10,252,688,147,4.065,112
17,Dylan Frittelli,29,13,293,941,199,3.617,112
18,Freddie Jacobson,45,8,163,579,152,3.196,115
19,Bubba Watson,41,9,215,636,165,3.707,116
20,Charles Howell III,40,14,350,1065,193,3.846,117
21,Cameron Davis,25,11,283,804,176,3.931,118
22,Sungjae Im,22,18,480,1335,258,4.068,118
23,Kevin Na,36,9,205,684,161,3.417,120
24,Adam Svensson,26,10,251,759,170,3.746,121
25,Adam Scott,39,9,261,661,148,4.279,122
26,Branden Grace,31,10,231,759,204,3.397,122
27,Ollie Schniederjans,26,11,274,831,196,3.653,123
28,Fabian Gomez,41,9,220,715,160,3.548,124
29,Kyle Stanley,32,11,259,883,190,3.408,124
30,Tyler Duncan,30,12,281,961,215,3.386,125
31,Luke List,35,9,235,680,186,3.73,126
33,Tommy Fleetwood,29,9,226,770,131,3.531,128
35,Marc Leishman,36,10,280,822,163,3.889,130
37,Max Homa,29,11,283,908,212,3.538,131
38,Brady Schnell,--,7,172,580,143,3.373,131
41,J.T. Poston,26,13,375,1083,234,3.906,133
43,Ryan Moore,37,10,289,832,184,3.905,133
44,Seth Reeves,--,9,238,744,184,3.552,134
45,Scott Brown,36,11,294,942,201,3.585,134
47,Richy Werenski,28,11,304,948,208,3.663,136
48,Jon Rahm,25,9,296,747,159,4.353,136
50,Tony Finau,30,11,328,959,196,3.905,137
52,Chez Reavie,38,12,369,1021,232,4.011,138
53,Scott Stallings,35,10,295,867,202,3.782,140
54,Scott Piercy,41,11,345,987,189,4.012,141
55,Sam Ryder,30,9,286,818,167,3.972,144
58,Hudson Swafford,32,7,204,650,142,3.579,147
59,Carlos Ortiz,28,10,289,956,199,3.524,148
60,Patton Kizzire,34,9,267,837,185,3.608,148
61,Gary Woodland,35,10,368,900,206,4.381,151
62,Hunter Mahan,37,7,211,671,149,3.576,152
63,Jonas Blixt,35,9,281,864,193,3.697,152
65,Benjamin Silverman,--,8,234,782,181,3.441,153
66,Troy Merritt,34,7,259,672,142,4.246,157
67,Charley Hoffman,43,8,244,787,191,3.486,158
68,Pat Perez,44,7,234,697,158,3.774,159
70,Sepp Straka,26,8,302,768,195,4.194,162
75,Adam Schenk,28,11,397,1132,228,3.97,164
76,Keegan Bradley,33,9,302,931,207,3.683,164
77,Zach Johnson,44,7,214,746,167,3.344,165
78,Rory Sabbatini,44,10,375,1054,209,4.032,167
80,Matt Jones,39,9,312,984,185,3.714,168
81,David Hearn,40,5,167,541,119,3.553,169
82,Bill Haas,37,7,246,799,173,3.565,177
83,Graeme McDowell,40,7,251,827,174,3.535,183
86,Billy Horschel,33,9,332,1078,222,3.609,184
87,C.T. Pan,28,8,286,960,196,3.488,185
88,Bryson DeChambeau,26,7,300,796,169,4.167,185
89,Brandon Harkins,33,8,337,874,245,4.06,187
90,J.J. Henry,45,5,127,658,139,2.442,187
91,Trey Mullinax,27,7,271,825,182,3.712,188
92,Roger Sloan,32,8,328,924,222,3.905,189
93,Chesson Hadley,32,7,256,854,179,3.459,190
94,Anders Albertson,26,6,227,740,161,3.547,192
95,Kevin Kisner,36,8,316,1002,204,3.674,194
96,Talor Gooch,28,5,214,613,123,3.963,194
97,Patrick Reed,29,8,350,1003,206,3.977,198
98,Peter Uihlein,30,7,294,876,199,3.769,201
99,Josh Teater,40,6,262,767,148,3.91,201
100,Nate Lashley,37,6,264,781,162,3.882,204
101,Joey Garber,28,5,195,669,139,3.421,205
102,Matt Kuchar,41,7,321,923,170,4.013,206
