2019WorldRank,PlayerName,AvgPoints,EventsPlayed
2,Rory McIlroy,9.4474,47
3,Jon Rahm,8.4798,48
1,Brooks Koepka,7.7292,45
4,Justin Thomas,7.4113,46
5,Dustin Johnson,6.4491,42
13,Adam Scott,5.9723,42
12,Patrick Reed,5.8668,52
7,Patrick Cantlay,5.8668,43
11,Webb Simpson,5.84,44
10,Tommy Fleetwood,5.5753,52
6,Tiger Woods,5.438,40
9,Xander Schauffele,5.3759,51
14,Bryson DeChambeau,5.1513,51
8,Justin Rose,5.0164,47
28,Marc Leishman,4.79,48
16,Tony Finau,4.6247,52
24,Matt Kuchar,4.4298,52
17,Gary Woodland,4.3799,50
20,Louis Oosthuizen,4.3328,46
19,Shane Lowry,4.2695,50
32,Tyrrell Hatton,4.2295,49
21,Hideki Matsuyama,4.1422,52
34,Sungjae Im,4.0428,52
15,Paul Casey,3.9941,50
25,Matthew Fitzpatrick,3.7882,52
22,Bernd Wiesberger,3.7711,40
23,Rickie Fowler,3.4985,43
18,Francesco Molinari,3.4597,43
38,Abraham Ancer,3.1349,52
27,Kevin Na,3.1066,49
59,Lee Westwood,3.0693,44
26,Henrik Stenson,3.0643,44
29,Danny Willett,2.8612,52
33,Billy Horschel,2.7264,52
53,Cameron Smith,2.7212,51
35,Kevin Kisner,2.7001,52
36,Chez Reavie,2.691,52
39,Sergio Garcia,2.6213,50
40,Jazz Janewattananond,2.6021,52
45,Victor Perez,2.6001,50
31,Shugo Imahira,2.5936,52
49,Erik van Rooyen,2.579,52
30,Matt Wallace,2.4887,52
65,Collin Morikawa,2.4558,40
66,Scottie Scheffler,2.3967,40
41,Rafa Cabrera Bello,2.3963,52
87,Christiaan Bezuidenhout,2.3929,52
46,Brandt Snedeker,2.3847,52
121,Graeme McDowell,2.3761,49
42,Byeong Hun An,2.3633,52
37,Jason Day,2.343,42
86,Sunghoon Kang,2.2809,52
47,Bubba Watson,2.2574,44
63,Brendon Todd,2.1844,40
50,Adam Hadwin,2.1261,46
44,Jordan Spieth,2.1069,47
93,Viktor Hovland,2.0985,40
43,Ian Poulter,2.0703,52
54,Tom Lewis,2.05,52
56,Shaun Norris,2.0475,52
70,Phil Mickelson,1.9744,47
48,Andrew Putnam,1.9651,50
51,Keegan Bradley,1.9651,52
201,Lucas Herbert,1.8957,48
52,Eddie Pepperell,1.8859,44
60,Corey Conners,1.884,52
64,Robert MacIntyre,1.8659,52
75,Kurt Kitayama,1.8599,50
61,Chan Kim,1.846,40
101,Joel Dahmen,1.8454,52
130,Max Homa,1.8333,52
62,Jason Kokrak,1.8166,50
82,Thomas Pieters,1.8138,52
127,Branden Grace,1.8123,52
67,Mike Lorenzo-Vera,1.8093,45
77,J.T. Poston,1.7952,52
55,Charles Howell III,1.7896,52
58,Joaquin Niemann,1.7614,52
91,Ryan Palmer,1.7583,44
73,Paul Waring(Feb1985),1.7523,44
88,Nate Lashley,1.7487,46
79,Matthias Schwab,1.6904,52
78,Cameron Champ,1.6814,52
100,Jorge Campillo,1.6753,52
57,Jim Furyk,1.6671,40
119,Lanto Griffin,1.649,52
68,Haotong Li,1.6457,52
90,Danny Lee,1.6415,52
71,Lucas Glover,1.6182,47
83,Marcus Kinhult,1.5837,47
122,Kevin Streelman,1.5742,52
99,Matt Jones,1.5734,52
89,Benjamin Hebert,1.5703,50
104,Juan Sebastian Munoz,1.563,52
95,J.B. Holmes,1.5601,45
98,Keith Mitchell,1.5544,52
80,Ryo Ishikawa,1.5516,46
85,Joost Luiten,1.5381,40
69,C.T. Pan,1.5324,52
108,Scott Piercy,1.5313,51
